Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM),Type
VTS.MU,Vitesco Technologies Group AG,14.10,0.3,+2.17%,40,4,,,Consumer Cyclica
NVM.BE,Novem Group SA,8.82,0.12,+1.38%,120,0,,,Consumer Cyclica
21E.MU,Elior Group SA,2.8460,0.036,+1.28%,596,0,,,Consumer Cyclica
DJDA.MU,D'Ieteren Group,172.80,-0.1,-0.06%,110,16,,,Consumer Cyclica
1VPA.BE,Vipshop Holdings Ltd,16.70,0.1,+0.60%,"1,540",27,,,Consumer Cyclica
OLL.MU,Oriental Land Co Ltd,35.00,-0.8,-2.23%,15,0,,,Consumer Cyclica
EM7A.MU,Emperor Entertainment Hotel Ltd,0.0505,0.0005,+1.00%,"30,000",0,,,Consumer Cyclica
YMA.BE,Yamaha Motor Co Ltd,25.45,-0.4,-1.55%,3,0,,,Consumer Cyclica
MAS.DU,Melco Resorts and Entertainment Ltd,11.00,0.0,0.00%,,0,,,Consumer Cyclica
MHR.DU,MillerKnoll Inc,13.20,0.1,+0.76%,9,0,,,Consumer Cyclica
ZAL.BE,Zalando SE,25.96,0.27,+1.05%,10,115,,,Consumer Cyclica
I56.HM,Lottomatica Group SpA,8.14,0.1,+1.24%,,0,,,Consumer Cyclica
GET.MU,Chargeurs SA,12.24,-0.08,-0.65%,72,1,,,Consumer Cyclica
M04.BE,MGM China Holdings Ltd,1.0900,0.01,+0.93%,"45,999",0,,,Consumer Cyclica
MLQ2.BE,PT Multipolar Tbk,0.0005,0.0,0.00%,350,0,,,Consumer Cyclica
0TUA.MU,Tuniu Corp,1.6300,0.04,+2.52%,48,0,,,Consumer Cyclica
MTR.MU,Mothercare PLC,0.0845,0.0,0.00%,"3,500",0,,,Consumer Cyclica
3FB.MU,Bulten AB,8.27,-0.06,-0.72%,,0,,,Consumer Cyclica
UYXP.SG,Live Ventures Inc,22.80,0.8,+3.64%,0,0,,,Consumer Cyclica
YAAA.MU,Canadian Tire Corp Ltd,119.00,1.0,+0.85%,40,0,,,Consumer Cyclica
VIS.MU,Viscofan SA,61.20,0.0,0.00%,80,0,,,Consumer Cyclica
HBS.MU,Delfingen Industry SA,52.00,0.0,0.00%,10,0,,,Consumer Cyclica
JK9.F,Southern Sun Limited,0.2000,-0.002,-0.99%,,0,333.704M,20.0,Consumer Cyclica
ACWN.MU,AS Creation Tapeten AG,12.50,0.0,0.00%,70,1,,,Consumer Cyclica
6LY.BE,Wuling Motors Holdings Ltd,0.0887,0.0,0.00%,"3,200",0,,,Consumer Cyclica
BIJ.MU,Bijou Brigitte Modische Accessoires AG,56.60,-2.2,-3.74%,200,26,,,Consumer Cyclica
H24.MU,Home24 SE,7.56,0.0,0.00%,100,53,,,Consumer Cyclica
JS9.DU,Allego NV,2.6650,-0.01,-0.37%,82,0,,,Consumer Cyclica
LV2B.BE,Levi Strauss & Co,13.63,-0.3,-2.15%,300,0,,,Consumer Cyclica
EP2.SG,NexTech AR Solutions Corp,0.4560,0.0,0.00%,"3,000","1,568",,,Consumer Cyclica
32P.SG,PPHE Hotel Group Ltd,12.30,0.2,+1.65%,0,0,,,Consumer Cyclica
YME.HA,Yamada Holdings Co Ltd,2.7200,-0.02,-0.73%,7,0,,,Consumer Cyclica
BB2.HM,Burberry Group PLC,26.20,-0.4,-1.50%,33,0,,,Consumer Cyclica
ASJA.SG,PT Astra International Tbk,0.3800,-0.008,-2.06%,0,0,,,Consumer Cyclica
1KR.MU,Smith (DS) PLC,3.6500,-0.04,-1.08%,1,0,,,Consumer Cyclica
6BA.BE,Grand Baoxin Auto Group Ltd,0.0280,0.0,0.00%,"600,000",0,,,Consumer Cyclica
VH3.SG,Strip Tinning Holdings PLC,0.3880,0.0,0.00%,0,0,,,Consumer Cyclica
WF3.SG,Wesfarmers Ltd,30.82,0.27,+0.88%,0,51,,,Consumer Cyclica
H5E.HA,Helma Eigenheimbau AG,9.90,-1.65,-14.29%,40,1,,,Consumer Cyclica
W2L.MU,SeaWorld Entertainment Inc,54.50,-1.5,-2.68%,2,0,,,Consumer Cyclica
7B1.DU,BHG Group AB,1.2260,0.014,+1.16%,,0,,,Consumer Cyclica
81A.MU,AO World PLC,0.8920,0.006,+0.68%,100,198,,,Consumer Cyclica
ADS.HA,adidas AG,174.06,-0.26,-0.15%,64,9,,,Consumer Cyclica
WUG.MU,Westag AG,28.80,0.0,0.00%,500,1,,,Consumer Cyclica
ACWN.DU,AS Creation Tapeten AG,12.40,0.0,0.00%,80,0,,,Consumer Cyclica
FUH.SG,Subaru Corp,17.10,-0.4,-2.29%,0,7,,,Consumer Cyclica
HBH.HM,HORNBACH Holding AG and Co KGaA,70.25,-0.45,-0.64%,45,6,,,Consumer Cyclica
JK9.F,Southern Sun Limited,0.2000,-0.002,-0.99%,,0,333.704M,20.0,Consumer Cyclica
NI9.DU,Nippon Sheet Glass Co Ltd,3.9800,0.0,0.00%,100,0,,,Consumer Cyclica
RNE1.BE,Gaming Realms PLC,0.3100,-0.024,-7.19%,"1,500",0,,,Consumer Cyclica
WDL1.HA,windeln.de SE,0.0450,0.0,0.00%,"1,000",0,,,Consumer Cyclica
6RK.DU,CCC SA,9.54,-0.01,-0.13%,310,5,,,Consumer Cyclica
LAG.HA,Lagardere SA,21.35,-0.4,-1.84%,,0,,,Consumer Cyclica
ACWN.MU,AS Creation Tapeten AG,12.50,0.0,0.00%,70,1,,,Consumer Cyclica
JBX.MU,Jack In The Box Inc,84.50,-1.0,-1.17%,72,0,,,Consumer Cyclica
DJDA.MU,D'Ieteren Group,172.80,-0.1,-0.06%,110,16,,,Consumer Cyclica
OLL.MU,Oriental Land Co Ltd,35.00,-0.8,-2.23%,15,0,,,Consumer Cyclica
HLE.BE,HELLA GmbH & Co KGaA,72.40,-0.7,-0.96%,10,2,,,Consumer Cyclica
8NX.BE,Nexteer Automotive Group Ltd,0.4100,0.002,+0.49%,"1,300",26,,,Consumer Cyclica
KTA.HA,Knaus Tabbert AG,48.10,0.7,+1.48%,80,0,,,Consumer Cyclica
1VRA.HM,Verallia,33.84,-0.22,-0.65%,15,3,,,Consumer Cyclica
49S.SG,Superdry PLC,0.9150,-0.039,-4.09%,0,231,,,Consumer Cyclica
H5E.DU,Helma Eigenheimbau AG,8.70,-1.45,-14.29%,100,10,,,Consumer Cyclica
49N.F,"Kowa Co.,Ltd.",5.62,0.1,+1.77%,,0,28.627M,9.86,Consumer Cyclica
COY.SG,Tapestry Inc,39.60,-0.2,-0.50%,0,54,,,Consumer Cyclica
TN2.MU,Technogym SpA,9.05,0.0,0.00%,500,13,,,Consumer Cyclica
G5O.MU,Gascogne,4.1500,0.0,0.00%,13,0,,,Consumer Cyclica
VTSC.BE,Vitesco Technologies Group AG,72.55,1.0,+1.40%,40,7,,,Consumer Cyclica
T5W.HA,Just Eat Takeaway.com NV,13.12,0.12,+0.92%,654,11,,,Consumer Cyclica
T5W.DU,Just Eat Takeaway.com NV,13.62,0.46,+3.49%,13,0,,,Consumer Cyclica
HV9.BE,Sun Hing Vision Group Holdings Ltd,0.0880,-0.001,-1.12%,0,0,,,Consumer Cyclica
BBQ.DU,Beter Bed Holding,3.0800,0.0,0.00%,13,0,,,Consumer Cyclica
ELB.MU,elumeo SE,2.5600,0.0,0.00%,200,149,,,Consumer Cyclica
EWC.MU,Chaowei Power Holdings Ltd,0.1890,-0.007,-3.57%,500,0,,,Consumer Cyclica
84I.MU,Giftee Inc,11.80,0.0,0.00%,10,0,,,Consumer Cyclica
ADS.HM,adidas AG,174.06,-0.12,-0.07%,235,109,,,Consumer Cyclica
MAS.MU,Melco Resorts and Entertainment Ltd,11.20,0.0,0.00%,100,0,,,Consumer Cyclica
MIZ.BE,Mizuno Corp,24.20,-0.2,-0.82%,200,0,,,Consumer Cyclica
6BA.MU,Grand Baoxin Auto Group Ltd,0.0355,0.0,0.00%,"39,200",0,,,Consumer Cyclica
2BN.MU,Barnes & Noble Education Inc,1.1900,0.1,+9.17%,735,12,,,Consumer Cyclica
GMM.MU,Grammer AG,13.30,0.0,0.00%,615,26,,,Consumer Cyclica
BBQ.MU,Beter Bed Holding,3.0850,0.015,+0.49%,,0,,,Consumer Cyclica
WDL1.HM,windeln.de SE,0.0450,0.0,0.00%,19,0,,,Consumer Cyclica
VAI.DU,Vail Resorts Inc,226.00,-2.0,-0.88%,20,0,,,Consumer Cyclica
NWQ.SG,Best Pacific International Holdings Ltd,0.1120,-0.001,-0.88%,0,0,,,Consumer Cyclica
PL8.DU,Playtech PLC,6.89,0.09,+1.40%,800,0,,,Consumer Cyclica
M3L.BE,Modern Healthcare Technology Holdings Ltd,0.0135,0.0,0.00%,"60,000",0,,,Consumer Cyclica
1KR.DU,Smith (DS) PLC,3.6100,0.02,+0.56%,400,0,,,Consumer Cyclica
SHN.SG,Shangri-La Asia Ltd,0.7350,0.005,+0.68%,0,603,,,Consumer Cyclica
BIJ.DU,Bijou Brigitte Modische Accessoires AG,57.00,0.8,+1.42%,2,8,,,Consumer Cyclica
GU9.MU,Guess? Inc,19.20,-0.1,-0.52%,325,0,,,Consumer Cyclica
13W.MU,Blue Apron Holdings Inc,6.17,-0.27,-4.16%,29,10,,,Consumer Cyclica
32P.SG,PPHE Hotel Group Ltd,12.30,0.2,+1.65%,0,0,,,Consumer Cyclica
6LY.MU,Wuling Motors Holdings Ltd,0.0872,0.0,0.00%,"6,000",0,,,Consumer Cyclica
CWB.DU,Currys PLC,0.6100,0.0185,+3.13%,"3,500",0,,,Consumer Cyclica
B4F.MU,Basic-Fit NV,35.88,0.0,0.00%,19,0,,,Consumer Cyclica
NXG.DU,Next PLC,75.50,0.5,+0.67%,87,0,,,Consumer Cyclica
3AJ.MU,SkiStar AB,10.35,0.0,0.00%,90,12,,,Consumer Cyclica
EWG.MU,Wingstop Inc,174.00,-2.0,-1.14%,27,1,,,Consumer Cyclica
H24.MU,Home24 SE,7.56,0.0,0.00%,100,53,,,Consumer Cyclica
YME.HA,Yamada Holdings Co Ltd,2.7200,-0.02,-0.73%,7,0,,,Consumer Cyclica
1KR.MU,Smith (DS) PLC,3.6500,-0.04,-1.08%,1,0,,,Consumer Cyclica
1HTA.MU,Hyatt Hotels Corp,103.10,-4.9,-4.54%,50,0,,,Consumer Cyclica
1KR.HA,Smith (DS) PLC,3.6000,-0.07,-1.91%,"3,000",0,,,Consumer Cyclica
1CT.DU,Chow Tai Fook Jewellery Group Ltd,1.7400,0.01,+0.58%,,0,,,Consumer Cyclica
WMR0.SG,Moab Minerals Ltd,0.0060,0.0,0.00%,0,"1,037",,,Consumer Cyclica
PV6.MU,Pierre & Vacances,1.7340,-0.022,-1.25%,300,0,,,Consumer Cyclica
JST.HA,JOST Werke AG,51.40,0.0,0.00%,3,0,,,Consumer Cyclica
6P8.SG,Pets at Home Group PLC,4.2620,-0.118,-2.69%,0,29,,,Consumer Cyclica
DKOB.SG,Domino's Pizza Group PLC,3.2800,0.0,0.00%,0,2,,,Consumer Cyclica
3FB.MU,Bulten AB,8.27,-0.06,-0.72%,,0,,,Consumer Cyclica
TUP.BE,Tupperware Brands Corp,0.8070,-0.017,-2.06%,609,486,,,Consumer Cyclica
HBS.MU,Delfingen Industry SA,52.00,0.0,0.00%,10,0,,,Consumer Cyclica
GMM.HA,Grammer AG,13.10,0.1,+0.77%,158,2,,,Consumer Cyclica
MRU3.SG,Rich Goldman Holdings Ltd,0.0050,0.0,0.00%,0,0,,,Consumer Cyclica
UYXP.SG,Live Ventures Inc,22.80,0.8,+3.64%,0,0,,,Consumer Cyclica
YAAA.MU,Canadian Tire Corp Ltd,119.00,1.0,+0.85%,40,0,,,Consumer Cyclica
VIS.MU,Viscofan SA,61.20,0.0,0.00%,80,0,,,Consumer Cyclica
1QH.MU,Takung Art Co Ltd,0.3840,0.0,0.00%,190,0,,,Consumer Cyclica
TIMA.BE,ZEAL Network SE,33.95,-0.45,-1.31%,100,9,,,Consumer Cyclica
0GE.MU,RVRC Holding AB,3.2200,0.12,+3.87%,325,0,,,Consumer Cyclica
M3L.MU,Modern Healthcare Technology Holdings Ltd,0.0185,0.0,0.00%,"10,000",0,,,Consumer Cyclica
AHLA.HA,Alibaba Group Holding Ltd,86.00,3.4,+4.12%,35,16,,,Consumer Cyclica
MAS.DU,Melco Resorts and Entertainment Ltd,11.00,0.0,0.00%,,0,,,Consumer Cyclica
MHR.DU,MillerKnoll Inc,13.20,0.1,+0.76%,9,0,,,Consumer Cyclica
ZAL.BE,Zalando SE,25.96,0.27,+1.05%,10,115,,,Consumer Cyclica
WHE.MU,Pacific Textiles Holdings Ltd,0.2540,-0.004,-1.55%,"3,000",70,,,Consumer Cyclica
WUG.MU,Westag AG,28.80,0.0,0.00%,500,1,,,Consumer Cyclica
ACWN.DU,AS Creation Tapeten AG,12.40,0.0,0.00%,80,0,,,Consumer Cyclica
LSJ.BE,Lianhua Supermarket Holdings Co Ltd,0.0505,-0.0005,-0.98%,"3,600",0,,,Consumer Cyclica
FSNT.HM,Fashionette AG,4.5200,-0.28,-5.83%,645,13,,,Consumer Cyclica
TRU.DU,Traumhaus AG,6.25,-0.2,-3.10%,250,4,,,Consumer Cyclica
WHX.BE,Apranga APB,2.4800,-0.005,-0.20%,"1,000",0,,,Consumer Cyclica
VIB3.BE,Villeroy & Boch AG,18.70,0.05,+0.27%,75,7,,,Consumer Cyclica
WDL1.BE,windeln.de SE,0.0450,0.0,0.00%,15,0,,,Consumer Cyclica
MOV.DU,Moncler SpA,66.40,1.2,+1.84%,250,4,,,Consumer Cyclica
MLQ2.BE,PT Multipolar Tbk,0.0005,0.0,0.00%,350,0,,,Consumer Cyclica
0TUA.MU,Tuniu Corp,1.6300,0.04,+2.52%,48,0,,,Consumer Cyclica
4XI.SG,Xinchen China Power Holdings Ltd,0.0290,-0.001,-3.33%,0,0,,,Consumer Cyclica
8GA.SG,Greatview Aseptic Packaging Co Ltd,0.2340,0.016,+7.34%,0,0,,,Consumer Cyclica
3FB.DU,Bulten AB,8.22,0.04,+0.49%,"1,234",0,,,Consumer Cyclica
83S2.BE,SSP Group PLC,3.0600,-0.06,-1.92%,220,0,,,Consumer Cyclica
BL8.BE,Ball Corp,49.52,-0.58,-1.16%,22,0,,,Consumer Cyclica
TU0.SG,Thule Group AB,26.41,0.06,+0.23%,0,21,,,Consumer Cyclica
BMW.MU,Bayerische Motoren Werke AG,110.90,-1.4,-1.25%,"1,517",549,,,Consumer Cyclica
AB6.SG,Autobacs Seven Co Ltd,9.75,-0.1,-1.02%,0,0,,,Consumer Cyclica
9J7.DU,Elopak ASA,2.0100,0.01,+0.50%,"1,000",0,,,Consumer Cyclica
MEOD.MU,Ceconomy AG,0.4360,0.0,0.00%,600,10,,,Consumer Cyclica
SNH.MU,Steinhoff International Holdings NV,0.0159,0.0035,+28.23%,"200,000","278,355",,,Consumer Cyclica
LC0A.HM,Luckin Coffee Inc,21.40,-0.2,-0.93%,250,20,,,Consumer Cyclica
NH5.SG,NH Hotel Group SA,4.4550,0.055,+1.25%,0,12,,,Consumer Cyclica
VSA2.DU,Valeo SA,21.10,0.15,+0.72%,"2,000",36,,,Consumer Cyclica
GMM.MU,Grammer AG,13.30,0.0,0.00%,615,26,,,Consumer Cyclica
BBQ.MU,Beter Bed Holding,3.0850,0.015,+0.49%,,0,,,Consumer Cyclica
B4F.MU,Basic-Fit NV,35.88,0.0,0.00%,19,0,,,Consumer Cyclica
NXG.DU,Next PLC,75.50,0.5,+0.67%,87,0,,,Consumer Cyclica
VAI.DU,Vail Resorts Inc,226.00,-2.0,-0.88%,20,0,,,Consumer Cyclica
3AJ.MU,SkiStar AB,10.35,0.0,0.00%,90,12,,,Consumer Cyclica
MSRB.MU,Metsa Board Oyj,7.55,-0.03,-0.40%,120,0,,,Consumer Cyclica
MA6.HM,Marks & Spencer Group PLC,2.1500,0.003,+0.14%,161,2,,,Consumer Cyclica
7IG.MU,International Game Technology PLC,28.60,-0.4,-1.38%,6,0,,,Consumer Cyclica
HS6.MU,HASEKO Corp,11.10,0.0,0.00%,"1,800",0,,,Consumer Cyclica
3FB.DU,Bulten AB,8.22,0.04,+0.49%,"1,234",0,,,Consumer Cyclica
8GA.SG,Greatview Aseptic Packaging Co Ltd,0.2340,0.016,+7.34%,0,0,,,Consumer Cyclica
83S2.BE,SSP Group PLC,3.0600,-0.06,-1.92%,220,0,,,Consumer Cyclica
BL8.BE,Ball Corp,49.52,-0.58,-1.16%,22,0,,,Consumer Cyclica
WDL1.HM,windeln.de SE,0.0450,0.0,0.00%,19,0,,,Consumer Cyclica
CWB.DU,Currys PLC,0.6100,0.0185,+3.13%,"3,500",0,,,Consumer Cyclica
EWG.MU,Wingstop Inc,174.00,-2.0,-1.14%,27,1,,,Consumer Cyclica
ADS.MU,adidas AG,174.56,0.0,0.00%,11,31,,,Consumer Cyclica
WF3.DU,Wesfarmers Ltd,30.64,0.28,+0.92%,20,0,,,Consumer Cyclica
0OV1.DU,OVS SpA,2.4280,-0.07,-2.80%,567,0,,,Consumer Cyclica
LWE.MU,Lowe's Companies Inc,199.42,0.0,0.00%,24,0,,,Consumer Cyclica
GTR.BE,Goodyear Tire & Rubber Co,12.86,0.83,+6.90%,150,2,,,Consumer Cyclica
BDO.DU,Clarus Corp,7.20,-0.25,-3.36%,,0,,,Consumer Cyclica
GTR.DU,Goodyear Tire & Rubber Co,12.84,-0.06,-0.50%,60,3,,,Consumer Cyclica
TWW.SG,Taylor Wimpey PLC,1.2600,-0.005,-0.40%,0,17,,,Consumer Cyclica
UOF.SG,Urban Outfitters Inc,30.40,-0.2,-0.65%,0,0,,,Consumer Cyclica
8MI.SG,Minor International PCL,0.8550,-0.005,-0.58%,0,96,,,Consumer Cyclica
LB3A.SG,Qurate Retail Inc,0.8203,0.0003,+0.04%,0,418,,,Consumer Cyclica
OWK.BE,Onward Holdings Co Ltd,2.3600,-0.02,-0.84%,50,6,,,Consumer Cyclica
1HTA.BE,Hyatt Hotels Corp,102.75,-5.0,-4.64%,8,0,,,Consumer Cyclica
RLS.SG,Rollins Inc,38.00,0.8,+2.15%,0,1,,,Consumer Cyclica
MDH.SG,M.D.C. Holdings Inc,41.00,0.2,+0.49%,0,24,,,Consumer Cyclica
TOM.HM,Toyota Motor Corp,14.84,-0.13,-0.85%,"2,217",74,,,Consumer Cyclica
0R6.SG,Restaurant Brands International Inc,69.52,0.0,0.00%,0,15,,,Consumer Cyclica
HFG.HM,HelloFresh SE,18.25,-0.05,-0.25%,"3,436",190,,,Consumer Cyclica
6F1.DU,Five Below Inc,176.60,2.15,+1.23%,12,0,,,Consumer Cyclica
GKE.DU,Hisense Home Appliances Group Co Ltd,2.0800,-0.025,-1.19%,60,0,,,Consumer Cyclica
05B.DU,Hopium SA,1.2960,-0.012,-0.92%,300,8,,,Consumer Cyclica
FU2.BE,Funko Inc,11.74,-0.4,-3.29%,490,0,,,Consumer Cyclica
JVC.BE,JVCKenwood Corp,3.2400,-0.08,-2.41%,51,0,,,Consumer Cyclica
AFG.DU,American Eagle Outfitters Inc,10.69,-0.06,-0.56%,70,0,,,Consumer Cyclica
ELXC.HA,Electrolux AB,12.47,0.0,0.00%,596,10,,,Consumer Cyclica
7IG.SG,International Game Technology PLC,27.80,-0.2,-0.71%,0,0,5.572B,,Consumer Cyclica
9HP.MU,Spinnova Oyj,5.09,0.0,0.00%,150,3,,,Consumer Cyclica
4C9.BE,CVS Group PLC,25.20,0.4,+1.61%,10,0,,,Consumer Cyclica
44B.BE,Vistry Group PLC,8.55,-0.02,-0.23%,45,0,,,Consumer Cyclica
HYU.HM,Hyundai Motor Co,38.50,-0.2,-0.52%,52,7,,,Consumer Cyclica
DHG.SG,Dalata Hotel Group PLC,4.2300,-0.005,-0.12%,0,0,,,Consumer Cyclica
FU2.SG,Funko Inc,11.74,-0.24,-2.00%,0,0,,,Consumer Cyclica
485.MU,Amcor PLC,9.50,0.0,0.00%,200,67,,,Consumer Cyclica
A5SA.HA,Aston Martin Lagonda Global Holdings PLC,3.4060,-0.014,-0.41%,400,7,,,Consumer Cyclica
NFA.MU,Nathan's Famous Inc,72.50,1.0,+1.40%,30,0,,,Consumer Cyclica
9SH.BE,Shake Shack Inc,65.46,-1.48,-2.21%,1,0,,,Consumer Cyclica
T5I0.SG,Mondee Holdings Inc,8.25,0.15,+1.85%,,0,,,Consumer Cyclica
6FE.DU,Six Flags Entertainment Corp,26.00,0.15,+0.58%,2,0,,,Consumer Cyclica
1WO.HA,Workhorse Group Inc,1.0095,0.1013,+11.15%,8,0,,,Consumer Cyclica
LCR.MU,Las Vegas Sands Corp,53.75,-1.35,-2.45%,2,27,,,Consumer Cyclica
LNLB.MU,Li Ning Co Ltd,5.73,0.02,+0.26%,"1,000",0,,,Consumer Cyclica
MW4.BE,Akwel,13.72,0.1,+0.73%,300,0,,,Consumer Cyclica
D7A.BE,Aptiv PLC,92.10,-0.84,-0.90%,48,0,,,Consumer Cyclica
RUZ.SG,Universal Entertainment Corp,15.50,-0.2,-1.27%,0,24,,,Consumer Cyclica
9NF.SG,NFI Group Inc,6.35,-0.05,-0.78%,0,1,,,Consumer Cyclica
0CT.SG,Card Factory PLC,1.0000,-0.026,-2.53%,0,0,,,Consumer Cyclica
8GM.HA,General Motors Co,34.71,0.16,+0.46%,50,0,,,Consumer Cyclica
8MI.BE,Minor International PCL,0.8600,-0.01,-1.15%,150,0,,,Consumer Cyclica
OM6.BE,O'Reilly Automotive Inc,843.20,6.8,+0.81%,6,0,,,Consumer Cyclica
1YN.SG,YETI Holdings Inc,32.60,-0.6,-1.81%,0,0,,,Consumer Cyclica
BG3.DU,Big 5 Sporting Goods Corp,7.64,-0.02,-0.23%,,0,,,Consumer Cyclica
HMI.HA,Hermes International SA,"1,949.20",-21.8,-1.11%,77,1,,,Consumer Cyclica
02G.DU,Guangzhou Automobile Group Co Ltd,0.5360,-0.015,-2.72%,200,78,,,Consumer Cyclica
GS2C.DU,GameStop Corp,22.64,-0.55,-2.35%,20,8,,,Consumer Cyclica
HCH.MU,Carter's Inc,64.50,1.0,+1.57%,40,0,,,Consumer Cyclica
6LGA.MU,Vicinity Motor Corp,0.7730,-0.019,-2.40%,300,17,,,Consumer Cyclica
8QE.MU,Cazoo Group Ltd,1.3300,0.0,0.00%,5,97,,,Consumer Cyclica
ZM3.BE,Zumiez Inc,13.70,0.3,+2.24%,420,0,,,Consumer Cyclica
TR4.DU,Tractor Supply Co,200.40,1.2,+0.60%,65,0,,,Consumer Cyclica
1GC.DU,Canada Goose Holdings Inc,15.35,0.09,+0.56%,61,0,,,Consumer Cyclica
13W.SG,,5.79,-0.28,-4.61%,0,74,,,Consumer Cyclica
GKE.MU,Hisense Home Appliances Group Co Ltd,2.1250,0.0,0.00%,"4,000",75,,,Consumer Cyclica
1WF.DU,Wayfair Inc,48.25,-0.3,-0.62%,20,0,,,Consumer Cyclica
2BZ.BE,Baozun Inc,1.3900,0.015,+1.09%,101,0,,,Consumer Cyclica
HDMA.SG,Honda Motor Co Ltd,28.40,-0.6,-2.07%,0,4,,,Consumer Cyclica
P9N.DU,LiveWire Group Inc,9.10,-0.1,-1.09%,,0,,,Consumer Cyclica
1WR.DU,WestRock Co,26.20,-0.2,-0.76%,200,0,,,Consumer Cyclica
HYU.HA,Hyundai Motor Co,38.50,-0.2,-0.52%,120,3,,,Consumer Cyclica
PPB.HA,Flutter Entertainment PLC,183.00,2.9,+1.61%,12,0,,,Consumer Cyclica
C9F.BE,Chipotle Mexican Grill Inc,"1,869.00",-30.4,-1.60%,5,0,,,Consumer Cyclica
AWG.SG,Asbury Automotive Group Inc,208.00,6.0,+2.97%,0,0,,,Consumer Cyclica
C7N.DU,Crocs Inc,104.72,1.16,+1.12%,30,3,,,Consumer Cyclica
SDA.BE,Sealed Air Corp,35.78,-0.19,-0.53%,70,0,,,Consumer Cyclica
BGW.DU,BorgWarner Inc,44.01,0.3,+0.70%,200,0,,,Consumer Cyclica
C0M.HM,Compleo Charging Solutions AG,0.5330,-0.048,-8.26%,"1,100",694,,,Consumer Cyclica
C7N.BE,Crocs Inc,104.60,-0.86,-0.82%,50,1,,,Consumer Cyclica
13W.SG,,5.79,-0.28,-4.61%,0,74,,,Consumer Cyclica
ELXC.HA,Electrolux AB,12.47,0.0,0.00%,596,10,,,Consumer Cyclica
T5I0.SG,Mondee Holdings Inc,8.25,0.15,+1.85%,,0,,,Consumer Cyclica
6FE.DU,Six Flags Entertainment Corp,26.00,0.15,+0.58%,2,0,,,Consumer Cyclica
1WO.HA,Workhorse Group Inc,1.0095,0.1013,+11.15%,8,0,,,Consumer Cyclica
AWG.SG,Asbury Automotive Group Inc,208.00,6.0,+2.97%,0,0,,,Consumer Cyclica
C7N.DU,Crocs Inc,104.72,1.16,+1.12%,30,3,,,Consumer Cyclica
SDA.BE,Sealed Air Corp,35.78,-0.19,-0.53%,70,0,,,Consumer Cyclica
BGW.DU,BorgWarner Inc,44.01,0.3,+0.70%,200,0,,,Consumer Cyclica
C0M.HM,Compleo Charging Solutions AG,0.5330,-0.048,-8.26%,"1,100",694,,,Consumer Cyclica
NXG.BE,Next PLC,75.50,0.0,0.00%,77,0,,,Consumer Cyclica
ELXC.MU,Electrolux AB,12.47,0.0,0.00%,30,0,,,Consumer Cyclica
BDO.BE,Clarus Corp,7.20,-0.25,-3.36%,300,5,,,Consumer Cyclica
7NV.DU,National Vision Holdings Inc,24.00,0.0,0.00%,,0,,,Consumer Cyclica
HFG.BE,HelloFresh SE,18.25,0.39,+2.16%,950,23,,,Consumer Cyclica
485B.BE,Amcor PLC,9.35,0.0,0.00%,46,3,,,Consumer Cyclica
SL3.SG,Silgan Holdings Inc,43.20,0.2,+0.47%,0,0,,,Consumer Cyclica
XA4.DU,CarMax Inc,73.00,-0.5,-0.68%,5,0,,,Consumer Cyclica
MCHA.HA,Michelin,27.46,-0.35,-1.26%,25,0,,,Consumer Cyclica
19S.DU,Sabre Corp,3.2150,0.101,+3.24%,56,0,,,Consumer Cyclica
PPB.MU,Flutter Entertainment PLC,182.30,0.85,+0.47%,10,0,,,Consumer Cyclica
DL7A.MU,Dillard's Inc,314.40,0.0,0.00%,12,0,,,Consumer Cyclica
HN9.DU,Hanesbrands Inc,4.2020,-0.085,-1.98%,125,2,,,Consumer Cyclica
MDH.SG,M.D.C. Holdings Inc,41.00,0.2,+0.49%,0,24,,,Consumer Cyclica
1HTA.BE,Hyatt Hotels Corp,102.75,-5.0,-4.64%,8,0,,,Consumer Cyclica
RLS.SG,Rollins Inc,38.00,0.8,+2.15%,0,1,,,Consumer Cyclica
TOM.HM,Toyota Motor Corp,14.84,-0.13,-0.85%,"2,217",74,,,Consumer Cyclica
FU2.BE,Funko Inc,11.74,-0.4,-3.29%,490,0,,,Consumer Cyclica
GKE.MU,Hisense Home Appliances Group Co Ltd,2.1250,0.0,0.00%,"4,000",75,,,Consumer Cyclica
9HP.MU,Spinnova Oyj,5.09,0.0,0.00%,150,3,,,Consumer Cyclica
7IG.SG,International Game Technology PLC,27.80,-0.2,-0.71%,0,0,5.572B,,Consumer Cyclica
4C9.BE,CVS Group PLC,25.20,0.4,+1.61%,10,0,,,Consumer Cyclica
DHG.SG,Dalata Hotel Group PLC,4.2300,-0.005,-0.12%,0,0,,,Consumer Cyclica
485.MU,Amcor PLC,9.50,0.0,0.00%,200,67,,,Consumer Cyclica
A5SA.HA,Aston Martin Lagonda Global Holdings PLC,3.4060,-0.014,-0.41%,400,7,,,Consumer Cyclica
NFA.MU,Nathan's Famous Inc,72.50,1.0,+1.40%,30,0,,,Consumer Cyclica
1WF.DU,Wayfair Inc,48.25,-0.3,-0.62%,20,0,,,Consumer Cyclica
